id;eltamont;eltaval;extremite_amont;extremite_aval;lgmvtaval;vit_reg;geometry
T_58227384_FRef;R_82649085;R_82649079;846246.439600 6521900.380400;846184.120800 6521938.884500;73,254;13,89;LINESTRING (846246.4396 6521900.3804, 846184.1208 6521938.8845)
T_58227406_FRef;R_83203019;C_801869603;845435.375896 6521894.932240;845500.184982 6521918.305782;135,47;8,33;LINESTRING (845435.375896 6521894.93224, 845500.184982 6521918.305782)
T_58227406_toRef;C_801869603;R_83203019;845492.453686 6521921.948678;845433.223704 6521900.532960;62,988;8,33;LINESTRING (845492.453686 6521921.948678, 845433.223704 6521900.53296)
T_58227441_toRef_F;R_82649259;R_82649254;846677.389947 6521906.822131;846558.730596 6521954.296445;176,537;13,89;LINESTRING (846677.389947 6521906.822131, 846558.730596 6521954.296445)
T_58227442_toRef_F;R_82649254;R_82649259;846553.574828 6521952.064505;846679.595653 6521901.242269;185,376;13,89;LINESTRING (846553.574828 6521952.064505, 846679.595653 6521901.242269)
T_58227445_FRef;E_82649303_T_58227445_FRef;R_82649339;846749.582435 6521846.611562;846694.084901 6522017.517382;179,691;8,33;LINESTRING (846749.582435 6521846.611562, 846694.084901 6522017.517382)
T_58227445_toRef;R_82649339;S_82649303_T_58227445_toRef;846688.504933 6522014.729089;846743.879165 6521844.748038;178,773;8,33;LINESTRING (846688.504933 6522014.729089, 846743.879165 6521844.748038)
T_58227455_FRef;R_82649061;R_82649077;846042.546178 6521861.647617;846151.008148 6521917.645400;122,123;13,89;LINESTRING (846042.546178 6521861.647617, 846151.008148 6521917.6454)
T_58227455_toRef;R_82649077;R_82649061;846148.169452 6521922.931400;846040.115422 6521867.133183;121,669;13,89;LINESTRING (846148.169452 6521922.9314, 846040.115422 6521867.133183)
T_58227456_FRef;R_82649061;S_82649057_T_58227456_FRef;846044.054504 6521865.647951;846001.441504 6521957.942551;101,657;8,33;LINESTRING (846044.054504 6521865.647951, 846001.441504 6521957.942551)
T_58227456_toRef;E_82649057_T_58227456_toRef;R_82649061;845995.994096 6521955.427449;846038.607096 6521863.132849;101,657;8,33;LINESTRING (845995.994096 6521955.427449, 846038.607096 6521863.132849)
T_58227507_FRef;C_82649084;C_82649246;846323.534393 6521831.746875;846391.073803 6521888.153358;130,267;13,89;LINESTRING (846323.534393 6521831.746875, 846391.073803 6521888.153358)
T_58227507_toRef;C_82649246;C_82649084;846391.398884 6521899.264114;846318.842202 6521839.540382;113,137;13,89;LINESTRING (846391.398884 6521899.264114, 846318.842202 6521839.540382)
T_58227522_FRef;R_82649314;R_82649316;846971.728225 6521823.793152;846961.076625 6521879.079252;56,303;8,33;LINESTRING (846971.728225 6521823.793152, 846961.076625 6521879.079252)
T_58227522_toRef;R_82649316;R_82649314;846955.184975 6521877.944148;846965.836575 6521822.658048;56,303;8,33;LINESTRING (846955.184975 6521877.944148, 846965.836575 6521822.658048)
T_58227541_FRef;E_82649011_T_58227541_FRef;C_801869603;845548.085882 6521808.071347;845508.511676 6521918.074482;116,905;8,33;LINESTRING (845548.085882 6521808.071347, 845508.511676 6521918.074482)
T_58227541_toRef;C_801869603;S_82649011_T_58227541_toRef;845502.865911 6521916.043388;845542.440118 6521806.040253;116,905;8,33;LINESTRING (845502.865911 6521916.043388, 845542.440118 6521806.040253)
T_58227561_toRef;C_82649084;R_82649082;846304.052834 6521826.882527;846280.005754 6521805.770021;32,0;13,89;LINESTRING (846304.052834 6521826.882527, 846280.005754 6521805.770021)
T_58227569_FRef;E_82649302_T_58227569_FRef;R_82649314;846764.845096 6521787.598186;846969.255796 6521820.263186;207,004;13,89;LINESTRING (846764.845096 6521787.598186, 846969.255796 6521820.263186)
T_58227569_toRef;R_82649314;S_82649302_T_58227569_toRef;846968.309004 6521826.188014;846763.898304 6521793.523014;207,004;13,89;LINESTRING (846968.309004 6521826.188014, 846763.898304 6521793.523014)
